workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
C,orig,leaf_rand_K10,async_win,10,128,836.10,868.17,766.92,32.98,100.0,301.85,224.56,15.56,61.11,10.00,1137.94,852.32,0.0
C,orig,leaf_rand_K10,pread,5,128,834.83,839.59,794.64,19.41,100.0,1028.43,223.03,805.40,,,1866.70,1643.69,0.0
C,orig,learned_markov_14,async,10,128,179.00,181.62,170.34,3.31,100.0,301.57,223.34,78.35,,,478.59,256.35,0.0
C,orig,learned_markov_14,async_bulk,5,128,179.21,179.75,175.25,1.68,100.0,303.54,222.61,17.52,61.54,9.00,480.96,195.70,0.0
C,orig,learned_markov_14,async_win,10,128,179.77,182.52,176.42,1.80,100.0,300.86,222.97,16.64,61.08,9.00,481.62,197.36,0.0
C,orig,learned_markov_14,pread,5,128,178.15,180.58,177.65,1.28,100.0,1267.60,223.28,1043.52,,,1445.29,1221.64,0.0
C,orig,learned_markov_28,async,10,128,179.95,184.44,176.75,2.61,100.0,321.98,224.31,98.19,,,503.03,279.52,0.0
C,orig,learned_markov_28,async_bulk,5,128,178.04,182.23,177.57,2.07,100.0,313.91,223.42,28.19,61.75,13.00,492.66,205.94,0.0
C,orig,learned_markov_28,async_win,10,128,177.83,182.05,172.22,2.92,100.0,313.35,223.96,26.98,62.29,13.00,490.17,206.16,0.0
C,orig,learned_markov_28,pread,5,128,181.25,185.50,178.10,2.73,100.0,1331.17,223.52,1105.18,,,1511.93,1289.00,0.0
C_hit,orig,2d,async,10,128,558.64,562.86,496.61,18.94,100.0,265.83,196.56,68.95,,,823.75,627.49,0.0
C_hit,orig,2d,async_bulk,5,128,561.81,562.55,554.99,2.83,100.0,293.39,224.43,8.20,60.69,3.00,853.40,569.38,0.0
C_hit,orig,2d,async_win,10,128,560.44,562.95,465.49,33.71,100.0,269.30,199.09,8.25,61.66,3.00,830.05,568.68,0.0
C_hit,orig,2d,pread,5,128,555.27,559.07,553.71,2.36,100.0,657.76,225.51,432.24,,,1211.82,986.82,0.0
C_hit,orig,2e_K10,async,10,128,530.47,565.56,495.43,31.62,100.0,279.40,196.52,80.44,,,823.87,611.12,0.0
C_hit,orig,2e_K10,async_bulk,5,128,560.92,562.08,552.06,4.25,100.0,302.68,225.20,15.62,61.37,6.00,863.60,576.54,0.0
C_hit,orig,2e_K10,async_win,10,128,561.29,1204.52,553.48,349.03,100.0,291.33,215.40,15.79,62.48,6.00,851.60,576.61,0.0
C_hit,orig,2e_K10,pread,5,128,501.24,567.11,492.76,34.27,100.0,1196.37,226.24,971.76,,,1706.01,1474.34,0.0
C_hit,orig,2e_K500,async,10,128,180.81,185.30,178.10,2.54,47.1,920.54,195.08,729.83,,,1101.05,911.06,0.0
C_hit,orig,2e_K500,async_bulk,5,128,182.13,186.37,178.62,2.93,32.9,693.03,225.62,348.26,128.23,139.00,871.65,530.39,0.0
C_hit,orig,2e_K500,async_win,10,128,180.27,185.33,178.22,2.33,41.5,711.45,194.08,377.86,128.74,139.00,891.72,558.03,0.0
C_hit,orig,2e_K500,pread,5,128,178.80,179.11,175.92,1.18,100.0,3405.07,231.50,3171.39,,,3583.93,3350.25,0.0
C_hit,orig,2f_slru,async,10,128,95.04,342.12,91.98,134.26,100.0,1631.86,195.25,1420.26,,,1733.72,1517.98,0.0
C_hit,orig,2f_slru,async_bulk,5,128,470.28,475.86,466.19,3.95,7.0,422.48,224.58,47.18,156.37,2.00,888.86,517.46,0.0
C_hit,orig,2f_slru,async_win,10,128,95.05,99.99,93.00,2.68,100.0,780.83,194.53,414.04,157.24,29.00,873.98,509.61,0.0
C_hit,orig,2f_slru,pread,5,128,92.56,97.64,89.45,2.97,100.0,4811.35,223.53,4580.18,,,4905.55,4674.38,0.0
C_hit,orig,2f_top100,async,10,128,542.25,792.62,496.24,133.15,100.0,374.90,196.03,178.45,,,925.83,720.43,0.0
C_hit,orig,2f_top100,async_bulk,5,128,553.89,707.83,522.25,83.28,100.0,360.12,223.02,74.68,65.58,28.00,901.14,626.07,0.0
C_hit,orig,2f_top100,async_win,10,128,525.53,565.81,514.43,20.15,100.0,338.45,196.56,73.63,66.08,28.00,891.40,605.46,0.0
