workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
C,orig,learned_markov_14,async_win,10,128,178.31,185.78,176.40,3.28,100.0,307.78,229.78,16.70,61.70,9.00,488.28,195.79,0.0
C,orig,learned_markov_14,pread,5,128,176.71,180.25,174.31,2.20,100.0,1306.31,229.67,1074.29,,,1485.67,1253.20,0.0
C,orig,learned_markov_28,async,10,128,177.05,183.87,175.05,3.36,100.0,326.17,229.59,96.53,,,505.18,276.25,0.0
C,orig,learned_markov_28,async_bulk,5,128,176.88,178.76,174.68,1.47,100.0,319.04,230.90,26.09,62.29,13.00,496.35,203.45,0.0
C,orig,learned_markov_28,async_win,10,128,177.45,180.01,174.61,1.67,100.0,318.96,229.25,26.88,62.25,13.00,496.24,204.84,0.0
C,orig,learned_markov_28,pread,5,128,176.11,179.92,174.32,2.12,100.0,1310.79,229.03,1081.76,,,1486.90,1257.87,0.0
C_hit,orig,2d,async,10,128,573.83,608.36,490.66,34.86,100.0,298.67,229.28,69.28,,,871.19,643.12,0.0
C_hit,orig,2d,async_bulk,5,128,562.67,612.93,527.65,31.52,100.0,299.36,230.01,8.41,60.99,3.00,862.38,571.99,0.0
C_hit,orig,2d,async_win,10,128,576.34,648.18,526.75,40.05,100.0,298.47,228.98,8.20,61.45,3.00,874.67,584.69,0.0
C_hit,orig,2d,pread,5,128,552.79,564.71,526.55,16.77,100.0,663.76,229.92,433.87,,,1219.61,986.66,0.0
C_hit,orig,2e_K10,async,10,128,565.12,610.13,528.63,27.78,100.0,311.48,229.71,81.35,,,883.24,655.03,0.0
C_hit,orig,2e_K10,async_bulk,5,128,588.41,616.41,531.24,30.89,100.0,305.96,227.49,15.83,61.46,6.00,891.91,603.15,0.0
C_hit,orig,2e_K10,async_win,10,128,565.45,641.59,531.10,34.82,100.0,307.77,229.35,16.45,61.77,6.00,873.28,582.88,0.0
